"id","car_name","year","color","price_per_day","availability"
1,"Toyota Camry",2019,"Black","30.000",True
2,"Honda Civic",2018,"White","35.000",False
3,"Ford Mustang",2020,"Red","60.000",True
4,"Chevrolet Cruze",2017,"Blue","40.000",True
5,"Tesla Model S",2021,"Gray","100.000",False
6,"Audi A4",2019,"Black","60.000",True
7,"Mercedes-Benz E-Class",2020,"White","80.000",True
8,"Volkswagen Golf",2018,"Green","45.000",True
9,"Lamborghini Huracan",2022,"Yellow","1000.000",False
10,"Porsche 911",2021,"Red","200.000",True
11,"Subaru Outback",2017,"Blue","55.000",False
12,"Volvo XC90",2020,"Silver","90.000",True
13,"Jeep Wrangler",2019,"Orange","70.000",False
14,"Kia Soul",2016,"Purple","35.000",True
15,"Toyota Camry",2019,"Silver","55.000",True
16,"BMW 3 Series",2020,"Blue","70.000",False
17,"Ford Mustang",2018,"Red","80.000",True
18,"Honda Civic",2021,"Black","60.000",False
19,"Chevrolet Malibu",2017,"Gray","45.000",True
20,"Nissan Altima",2019,"White","50.000",False
21,"Hyundai Sonata",2020,"Silver","55.000",True
22,"Mazda CX-5",2018,"Blue","65.000",True
23,"Subaru Forester",2019,"Green","60.000",False
24,"Volkswagen Jetta",2017,"Black","50.000",True
25,"Chevrolet Cobalt",2016,"Silver","40.000",True
26,"Toyota Camry",2018,"White","50.000",False
27,"Honda Civic",2017,"Black","45.000",True
28,"Nissan Altima",2019,"Red","55.000",True
29,"Ford Fusion",2018,"Blue","48.000",False
30,"Hyundai Elantra",2016,"Gray","42.000",True
31,"Kia Optima",2017,"Silver","47.000",False
32,"Volkswagen Jetta",2018,"White","49.000",True
33,"Subaru Impreza",2017,"Blue","46.000",False
34,"Mazda Mazda6",2019,"Red","52.000",True
35,"Chevrolet Malibu",2018,"Black","51.000",False
36,"Audi A4",2020,"Silver","60.000",True
37,"BMW 3 Series",2019,"Black","65.000",False
38,"Mercedes-Benz C-Class",2017,"White","70.000",True
39,"Lexus ES",2018,"Blue","75.000",False
40,"Tesla Model 3",2021,"Red","80.000",True
41,"Volvo S60",2019,"Silver","55.000",True
42,"Jaguar XE",2017,"Black","65.000",False
43,"Infiniti Q50",2018,"Gray","58.000",True
44,"Lincoln MKZ",2019,"White","62.000",False
45,"Cadillac ATS",2017,"Blue","68.000",True
46,"BMW 3 Series",2019,"Silver","65.000",True
